address,lat,lon
"6100 Telegraph Rd, Ventura, CA 93003",34.2774491,-119.211992
"7878 Telegraph Rd, Ventura, CA 93004",34.2813209,-119.1907688
"175 S Ventura Ave, Ventura, CA 93001",34.2785243,-119.3009742
"11033 Citrus Dr, Ventura, CA 93004",34.2923127,-119.1575469
"120 S California St, Ventura, CA 93001",34.2791949,-119.2930002
"500 E Main St, Ventura, CA 93001",34.2806827,-119.2929361
"839 E Front St, Ventura, CA 93001",34.2772107,-119.2878374
"2098 E Main St, Ventura, CA 93001",34.2776295,-119.268816
"586 E Main St, Ventura, CA 93001",34.280696,-119.2918997
"2770 E Main St, Ventura, CA 93003",34.272992,-119.259022
"3159 E Main St, Ventura, CA 93003",34.269055,-119.252434
"3301 E Main St, Ventura, CA 93003",34.2684326,-119.2487365
"143 S California St, Ventura, CA 93001",34.2789412,-119.2936048
"4100 Telegraph Rd, Ventura, CA 93003",34.2742106,-119.2385097
"692 E Main St, Ventura, CA 93001",34.2806121,-119.290219
"419 E Main St, Ventura, CA 93001",34.2810909,-119.2943689
"10251 Telephone Rd, Ventura, CA 93004",,
"1001 N Ventura Ave, Ventura, CA 93001",34.292584,-119.297522
"34 S Seaward Ave, Ventura, CA 93003",34.2761451,-119.2652786
"2401 Harbor Blvd, Ventura, CA 93001",34.26399,-119.2699328
"4095 Telegraph Rd, Ventura, CA 93003",34.2746995,-119.239545
"2950 Johnson Dr Ste 115, Ventura, CA 93003",,
"1876 E Main St, Ventura, CA 93001",34.278411,-119.272039
"2950 Johnson Dr Ste 129, Ventura, CA 93003",,
"2713 E Main St, Ventura, CA 93003",34.2737763,-119.2598628
"2855 Johnson Dr Ste M, Ventura, CA 93003",,
"1323 Los Angeles Ave, Ventura, CA 93004",34.283278,-119.148274
"4880 Telephone Rd, Ventura, CA 93003",34.2628752,-119.2267835
"819 N Ventura Ave, Ventura, CA 93001",34.2908328,-119.2980312
"1575 Spinnaker Dr Ste 105B, Ventura, CA 93001",,
"2126 Knoll Dr, Ventura, CA 93003",34.2519813,-119.219528
"5968 Telegraph Rd, Ventura, CA 93003",34.2768806,-119.2133234
"10225 Telephone Rd, Ventura, CA 93004",34.2775615,-119.162421
"4017 E Main St, Ventura, CA 93003",34.2636976,-119.2375392
"343 E Main St, Ventura, CA 93001",34.2810945,-119.2955215
"1559 Spinnaker Dr, Ventura, CA 93001",34.2407447,-119.2640306
"2788 E Main St, Ventura, CA 93003",34.2728158,-119.2587633
"1125 S Seaward Ave, Ventura, CA 93001",34.263611,-119.2731963
"1437 S Victoria Ave, Ventura, CA 93003",34.261229,-119.212984
"2835 E Main St, Ventura, CA 93003",34.2724006,-119.2578411
"294 E Main St, Ventura, CA 93001",34.2806806,-119.2963964
"1751 E Main St, Ventura, CA 93001",34.2790964,-119.274154
"2686 Loma Vista Rd, Ventura, CA 93003",34.2749634,-119.2607603
"9493 Telephone Rd, Ventura, CA 93004",34.2725384,-119.1705414
"435 E Thompson Blvd, Ventura, CA 93001",34.2783486,-119.2940616
"4693 Telephone Rd, Ventura, CA 93003",34.2615859,-119.2326757
"9284 Telephone Rd, Ventura, CA 93004",34.2714293,-119.1717556
"512 E Main St, Ventura, CA 93001",34.2806842,-119.2928187
"70 S Oak St, Ventura, CA 93001",34.2799494,-119.2945587
"51 W Main St, Ventura, CA 93001",34.282021,-119.301465
"1145 S Victoria Ave Ste C, Ventura, CA 93003",,
"2745 Sherwin Ave, Ventura, CA 93003",34.2495275,-119.1987415
"2437 E Main St, Ventura, CA 93003",34.2759211,-119.2638295
"2784 Johnson Dr, Ventura, CA 93003",34.2497179,-119.1962261
"567 San Jon Rd, Ventura, CA 93001",,
"71 N Palm St, Ventura, CA 93001",34.2815844,-119.2964445
"355 S Mills Rd, Ventura, CA 93003",34.269122,-119.2472353
"2611 E Thompson Blvd, Ventura, CA 93003",34.272907,-119.261634
"67 S California St, Ventura, CA 93001",34.2799892,-119.293203
"451 E Main St Ste 3, Ventura, CA 93001",,
"34 N Palm St Ste 100, Ventura, CA 93001",,
"73 N Palm St, Ventura, CA 93001",34.2817534,-119.2964404
"78 N Ash St, Ventura, CA 93001",34.2817831,-119.2884046
"1076 E Front St, Ventura, CA 93001",34.2768939,-119.2843387
"421 N Ventura Ave, Ventura, CA 93001",34.2864053,-119.299368
"220 Lincoln Dr, Ventura, CA 93001",34.2818784,-119.2750261
"1270 Devon Ln, Ventura, CA 93001",34.2578839,-119.2695185
"2819 E Main St, Ventura, CA 93003",34.2725621,-119.2580782
"3074 Channel Dr, Ventura, CA 93003",34.2628895,-119.2560775
"363 S Mills Rd, Ventura, CA 93003",34.2683928,-119.2466395
"1700 Morse Ave, Ventura, CA 93003",34.2583793,-119.2434489
"1449 Spinnaker Dr Ste A, Ventura, CA 93001",,
"3940 E Main St, Ventura, CA 93003",34.2632628,-119.2388916
"5722 Telephone Rd Ste 14C, Ventura, CA 93003",,
"6100 Telegraph Rd Ste F, Ventura, CA 93003",,
"1957 Grand Ave, Ventura, CA 93003",34.2564543,-119.2080827
"2880 Seaborg Ave, Ventura, CA 93003",34.2466544,-119.2119356
"6580 Auto Center Dr, Ventura, CA 93003",34.2426196,-119.1936988
"2337 Antler Ave, Ventura, CA 93003",34.2551839,-119.1914757
"1455 S Victoria Ave, Ventura, CA 93003",34.2612743,-119.2122699
"1295 S Victoria Ave, Ventura, CA 93003",34.2630203,-119.2120601
"11181 Azahar St, Ventura, CA 93004",34.284063,-119.1473777
"138 W Main St, Ventura, CA 93001",34.2810417,-119.302832
"4714 Telephone Rd, Ventura, CA 93003",34.2595475,-119.2348178
"4020 E Main St Ste B14, Ventura, CA 93003",,
"2850 Johnson Dr, Ventura, CA 93003",34.2487968,-119.1960074
"800 S Victoria Ave, Ventura, CA 93009",34.2685642,-119.2107566
"1164 S Wells Rd, Ventura, CA 93004",34.2835172,-119.1508358
"2148 Harbor Blvd, Ventura, CA 93001",34.2664082,-119.2712454
"4231 Telegraph Rd, Ventura, CA 93003",34.275034,-119.2382361
"3375 E Main St, Ventura, CA 93003",34.2659336,-119.2472653
"14 S California St, Ventura, CA 93001",34.2805056,-119.2929599
"2453 Harbor Blvd, Ventura, CA 93001",34.1807635,-119.2328624
"10245 Telephone Rd, Ventura, CA 93004",34.277475,-119.1617747
"4160 Market St, Ventura, CA 93003",34.2589872,-119.2392098
"5101 Telegraph Rd, Ventura, CA 93003",34.276513,-119.2263601
"8385 Hollister St, Ventura, CA 93004",34.2770379,-119.1808615
"53 S California St, Ventura, CA 93001",34.2801385,-119.2932034
"3263 Telegraph Rd, Ventura, CA 93003",34.2728164,-119.2515868
"478 E Main St, Ventura, CA 93001",34.2806914,-119.2935448
"4960 Telephone Rd, Ventura, CA 93003",34.263429,-119.225269
"566 E Main St, Ventura, CA 93001",34.280693,-119.2921309
"34 N Palm St, Ventura, CA 93001",34.2815748,-119.2960525
"1095 E Thompson Blvd, Ventura, CA 93001",34.277648,-119.2841262
"2632 E Main St, Ventura, CA 93003",34.2742239,-119.2611113
"301 E Main St, Ventura, CA 93001",34.2809605,-119.2960621
"487 E Thompson Blvd, Ventura, CA 93001",34.2784519,-119.2934038
"2055 Harbor Blvd, Ventura, CA 93001",34.2684841,-119.2739035
"390 S Mills Rd, Ventura, CA 93003",34.2691345,-119.2467982
"1907 E Thompson Blvd, Ventura, CA 93001",34.2749235,-119.2727124
"598 E Main St, Ventura, CA 93001",,
"2404 E Main St, Ventura, CA 93003",,
"305 Borchard Dr, Ventura, CA 93003",,
"1050 Schooner Dr, Ventura, CA 93001",34.2480027,-119.2590196
"2753 E Main St, Ventura, CA 93003",34.273276,-119.259126
"1070 E Front St, Ventura, CA 93001",34.2768575,-119.2846166
"1673 Donlon St Ste 205, Ventura, CA 93003",,
"2470 E Main St, Ventura, CA 93003",34.2754634,-119.2632413
"1951 E Thompson Blvd, Ventura, CA 93001",34.274776,-119.271967
"607 E Main St Ste B, Ventura, CA 93001",,
"1067 E Thompson Blvd, Ventura, CA 93001",34.2777835,-119.2844835
"1124 S Seaward Ave, Ventura, CA 93001",34.2635176,-119.2730109
"1413 S Victoria Ave Ste D, Ventura, CA 93003",,
"1413 S Victoria Ave, Ste F, Ventura, CA 93003",,
"7818 Telegraph Rd, Ventura, CA 93004",34.2801165,-119.1907035
"185 E Santa Clara St, Ventura, CA 93001",34.2800589,-119.2980425
"2881 Loma Vista Rd, Ventura, CA 93003",34.275433,-119.257617
"3301 E Main St Ste 1066, Ventura, CA 93003",,
"3845 Telegraph Rd, Ventura, CA 93003",34.2740344,-119.2433551
"1567 Spinnaker Dr Ste 200, Ventura, CA 93001",,
"4705 Telephone Rd Ste 1, Ventura, CA 93003",,
"4587 Telephone Rd Ste 102, Ventura, CA 93003",,
"1780 S Victoria Ave Ste A, Ventura, CA 93003",,
"1171 S Victoria Ave, Ventura, CA 93003",34.2640928,-119.2126177
"5777 Olivas Park Dr Unit R, Ventura, CA 93003",,
"2700 Loma Vista Rd, Ventura, CA 93003",34.2749145,-119.2599749
"92 S Laurel St, Ventura, CA 93001",34.2797211,-119.2853513
"2294 E Main St, Ventura, CA 93001",34.2764961,-119.2654921
"100 N Ashwood Ave, Ventura, CA 93003",34.2762297,-119.2389657
"1575 Spinnaker Dr, Ventura, CA 93001",34.2410792,-119.2646639
"1947 E Main St, Ventura, CA 93001",34.2783125,-119.2709246
"2705 E Thompson Blvd, Ventura, CA 93003",34.2725292,-119.2601529
"2271 N Ventura Ave, Ventura, CA 93001",34.3031514,-119.2940857
"6336 Bristol Rd, Ventura, CA 93003",34.253179,-119.2030471
"4255 E Main St Ste 20, Ventura, CA 93003",,
"3114 Telegraph Rd, Ventura, CA 93003",34.2719969,-119.2538217
"440 E Main St, Ventura, CA 93001",34.280604,-119.2940363
"5752 Telephone Rd Suite A1, Ventura, CA 93003",,
"1788 S Victoria Ave, Ventura, CA 93003",34.2581037,-119.2105573
"2855 Johnson Dr Ste J, Ventura, CA 93003",,
"1087 Scandia Ave, Ventura, CA 93004",34.278774,-119.1611323
"1413 S Victoria Ave, Ventura, CA 93003",34.2616094,-119.2117509
"1792 Callens Rd Ste A, Ventura, CA 93003",,
"67 W Main St Ste D, Ventura, CA 93001",,
"1700 E Thompson Blvd, Ventura, CA 93001",34.2753162,-119.2755447
"488 S Mills Rd, Ventura, CA 93003",34.2668345,-119.2461213
None,44.933143,7.540121
"7770 Telegraph Rd, Ventura, CA 93004",34.279723,-119.191813
"2292 E Main St Ste B, Ventura, CA 93001",,
"6128 Telegraph Rd Ste B, Ventura, CA 93003",,
"2350 S Victoria Ave, Ventura, CA 93003",34.2545508,-119.2100657
"325 Borchard Dr, Ventura, CA 93003",34.2701155,-119.2619105
"6555 Telephone Rd Ste 7, Ventura, CA 93003",,
"451 E Main St, Ventura, CA 93001",34.2809751,-119.2938851
"100 S Fir St, Ventura, CA 93001",34.279412,-119.289922
"1070 E Front St Ste A, Ventura, CA 93001",,
"3301 E Main St Ste 1516, Ventura, CA 93003",,
"1413 S Victoria Ave Ste C, Ventura, CA 93003",,
"204 E Thompson Blvd, Ventura, CA 93001",34.2779855,-119.2975467
"2991 Loma Vista Rd, Ventura, CA 93003",34.2756613,-119.2560819
"450 Harbor Blvd, Ventura, CA 93001",34.2763284,-119.2939416
"83 S Palm St, Ventura, CA 93001",34.2798376,-119.2964528
"500 N Ventura Ave, Ventura, CA 93001",34.287648,-119.299314
"2292 E Main St, Ventura, CA 93001",34.2765065,-119.2655149
"2753 E Main St Ste 20, Ventura, CA 93003",,
"2815 E Main St, Ventura, CA 93003",34.2725677,-119.2580864
"546 Emain St, Ventura, CA 93001",,
"3855 Telegraph Rd, Ventura, CA 93003",34.2741696,-119.2430198
